"x","Y","piece"
1190.448,-0.370362649294282,"956_Ia"
1195.172,-0.488714394477131,"956_Ia"
1199.896,-0.596602406622525,"956_Ia"
1204.62,-0.525645216962273,"956_Ia"
1209.344,-0.424989490886886,"956_Ia"
1214.068,-0.348338799426841,"956_Ia"
1218.792,0.0849251466553448,"956_Ia"
1223.516,-0.348338799426841,"956_Ia"
1228.24,-0.35257045616993,"956_Ia"
1232.964,-0.283709860077845,"956_Ia"
1237.688,-0.359398811369006,"956_Ia"
1242.412,-0.359398811369006,"956_Ia"
1247.136,-0.283709860077845,"956_Ia"
1251.86,-0.176475831247293,"956_Ia"
1256.584,-0.176475831247293,"956_Ia"
1261.308,-0.283709860077845,"956_Ia"
1266.032,-0.283709860077845,"956_Ia"
1270.756,-0.176475831247293,"956_Ia"
1275.48,-0.216965092357304,"956_Ia"
1280.204,-0.237546331971419,"956_Ia"
1284.928,-0.082802338798003,"956_Ia"
1289.652,-0.082802338798003,"956_Ia"
1294.376,-0.057027702271915,"956_Ia"
1299.1,-0.184842970716582,"956_Ia"
1303.824,-0.184842970716582,"956_Ia"
1308.548,0.0284709987418613,"956_Ia"
1313.272,-0.0951126129597166,"956_Ia"
1317.996,-0.0382737689786797,"956_Ia"
1322.72,-0.0382737689786797,"956_Ia"
1327.444,0.203603883495615,"956_Ia"
1332.168,-0.0382737689786797,"956_Ia"
1336.892,0.203603883495615,"956_Ia"
1341.616,0.203603883495615,"956_Ia"
1346.34,0.203603883495615,"956_Ia"
1351.064,0.256788114834894,"956_Ia"
1355.788,0.0433779713595615,"956_Ia"
1360.512,0.0433779713595615,"956_Ia"
1365.236,-0.0973246153481495,"956_Ia"
1369.96,-0.0973246153481495,"956_Ia"
1374.684,-0.0973246153481495,"956_Ia"
1379.408,0.125222059731579,"956_Ia"
1384.132,-0.0950164389428283,"956_Ia"
1388.856,-0.0950164389428283,"956_Ia"
1393.58,0.239861487862537,"956_Ia"
1398.304,-0.0907847821997391,"956_Ia"
1403.028,-0.0126914804863686,"956_Ia"
1407.752,0.0986780310703844,"956_Ia"
1412.476,0.0986780310703844,"956_Ia"
1417.2,0.362291011361455,"956_Ia"
1421.924,0.273810915824138,"956_Ia"
1426.648,0.211490152880463,"956_Ia"
1431.372,0.211490152880463,"956_Ia"
1436.096,0.119259270684499,"956_Ia"
1440.82,0.0923305459557509,"956_Ia"
1445.544,0.0923305459557509,"956_Ia"
1450.268,0.0923305459557509,"956_Ia"
1454.992,0.0923305459557509,"956_Ia"
1459.716,0.172539676040666,"956_Ia"
1464.44,0.172539676040666,"956_Ia"
1469.164,0.0923305459557509,"956_Ia"
1473.888,0.0923305459557509,"956_Ia"
1478.612,0.0570346817577125,"956_Ia"
1483.336,-0.0751084174469321,"956_Ia"
1488.06,0.0256819522520981,"956_Ia"
1492.784,0.141186946535052,"956_Ia"
1497.508,0.220819032518637,"956_Ia"
1502.232,0.112430915485424,"956_Ia"
1506.956,0.112430915485424,"956_Ia"
1511.68,0.0256819522520981,"956_Ia"
