"whale_index","Elapsed_DIV_Time","Sr_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_18",1088.44921994209,0.000656603282359024,343,3.55244331380145e-06,0.0301554491200615
"SMP_18",1091.60156011581,0.000635447106655289,344,-1.7949783500884e-05,-0.152369435699117
"SMP_18",1094.75781011581,0.000656075950360214,345,2.33203596659783e-06,0.0197958378853458
"SMP_18",1097.91406011581,0.000647299925069375,346,-6.79155708186048e-06,-0.0576511532871947
"SMP_18",1101.0664100647,0.000678035416235774,347,2.35962540264166e-05,0.200300349608175
"SMP_18",1104.2226600647,0.000612625612757189,348,-4.21622013642313e-05,-0.357900184667078
"SMP_18",1107.375,0.000658788343583463,349,3.65176917191228e-06,0.0309985915986285
"SMP_18",1110.53125,0.000766962333190082,350,0.000111476025665535,0.946281002431106
"SMP_18",1113.6875,0.000703014882945777,351,4.71783024805371e-05,0.400480113080341
"SMP_18",1116.8398399353,0.000675443628030358,352,1.9256670466094e-05,0.163463142172054
"SMP_18",1119.9960899353,0.00070094158468419,353,4.4403277406895e-05,0.376923895563795
"SMP_18",1123.1523399353,0.000625960742570798,354,-3.09294520315557e-05,-0.262549303299338
"SMP_18",1126.3085899353,0.000613540683210186,355,-4.3701935590391e-05,-0.370970450119306
"SMP_18",1129.46093988419,0.000644268085248131,356,-1.33270574155666e-05,-0.113128730373801
"SMP_18",1132.61718988419,0.000657992446673966,357,4.38089434113068e-08,0.000371878802093998
"SMP_18",1135.77343988419,0.000644301512409822,358,-1.40011550450816e-05,-0.118850909441324
"SMP_18",1138.92578005791,0.000625151555521829,359,-3.35052360279345e-05,-0.284414232978948
"SMP_18",1142.08203005791,0.000679363277496186,360,2.03513897836952e-05,0.172755831672381
"SMP_18",1145.23438000679,0.000681537407270753,361,2.21703307179169e-05,0.188196185240085
"SMP_18",1148.39063000679,0.000729197095042788,362,6.94738588389884e-05,0.589739294995699
"SMP_18",1151.54688000679,0.000710591504181674,363,5.05115773618985e-05,0.428775118013301
"SMP_18",1154.69921994209,0.000678660893546018,364,1.82241887485801e-05,0.154698765896457
"SMP_18",1157.85546994209,0.000647669180190263,365,-1.31252742811021e-05,-0.111415863902156
"SMP_18",1161.01171994209,0.000590162441692554,366,-7.09902912020818e-05,-0.60261175908024
"SMP_18",1164.16406011581,0.000652093904081374,367,-9.41719044675988e-06,-0.0799392368255165
"SMP_18",1167.32031011581,0.000652662173272812,368,-9.20825430798919e-06,-0.0781656510014828
"SMP_18",1170.47656011581,0.000656306536324545,369,-5.92375084259612e-06,-0.0502846495649425
"SMP_18",1173.6289100647,0.000688102291536333,370,2.5512064625899e-05,0.216562995892189
"SMP_18",1176.7851600647,0.00064521258681219,371,-1.77385498870103e-05,-0.150576347412284
"SMP_18",1179.9414100647,0.00073571881475309,372,7.24062439471216e-05,0.614631286821491
"SMP_18",1183.09375,0.00066137373143261,373,-2.30034833075714e-06,-0.0195268526248024
"SMP_18",1186.25,0.000669443159885343,374,5.40660024304441e-06,0.0458947389556432
"SMP_18",1189.40625,0.000619805542730844,375,-4.45940188927167e-05,-0.378543033341007
"SMP_18",1192.5585899353,0.000644687634060692,376,-2.00750002408733e-05,-0.17040965748756
"SMP_18",1195.7148399353,0.000603846848235366,377,-6.12796682105879e-05,-0.520181675986038
"SMP_18",1198.8710899353,0.000636806874935746,378,-2.86837242068648e-05,-0.243486105051564
"SMP_18",1202.02343988419,0.000634085903185105,379,-3.17685327447978e-05,-0.269671966075544
"SMP_18",1205.17968988419,0.000613410201340303,380,-5.28087295338708e-05,-0.44827483956377
"SMP_18",1208.33593988419,0.000668641557596481,381,2.05791982783486e-06,0.017468961832647
"SMP_18",1211.48828005791,0.000601914951905137,382,-6.50331563236044e-05,-0.552043724107984
"SMP_18",1214.64453005791,0.000657554648287217,383,-9.75860186470782e-06,-0.0828373589723046
"SMP_18",1217.79688000679,0.000686873529916468,384,1.91953660997846e-05,0.162942750842543
"SMP_18",1220.95313000679,0.000633690563520933,385,-3.4353192433031e-05,-0.291612238399773
"SMP_18",1224.10938000679,0.000616287483201296,386,-5.21220958351287e-05,-0.442446246188023
"SMP_18",1227.26563000679,0.00061802649367049,387,-5.07491431944505e-05,-0.430791731296997
"SMP_18",1230.41796994209,0.000587330837129273,388,-8.18106421821624e-05,-0.694461935034733
"SMP_18",1233.57421994209,0.000643359550281273,389,-2.61484674508391e-05,-0.22196519694429
"SMP_18",1236.73046994209,0.000642571550185778,390,-2.73032521109883e-05,-0.231767760134663
"SMP_18",1239.88281011581,0.000614901505540591,391,-5.53398764429877e-05,-0.469760860617712
"SMP_18",1243.03906011581,0.000668642705715814,392,-1.9659642063217e-06,-0.016688382715432
"SMP_18",1246.19531011581,0.000652555054651847,393,-1.84211607507429e-05,-0.156370792348286
"SMP_18",1249.3476600647,0.000652964372607878,394,-1.83791949710216e-05,-0.156014559518264
"SMP_18",1252.5039100647,0.000625044708295807,395,-4.66669309199998e-05,-0.396139258712499
"SMP_18",1255.65625,0.000648057955483469,396,-2.40215678288957e-05,-0.203910689759386
"SMP_18",1258.8125,0.00063241956428024,397,-4.00285720093375e-05,-0.339788551132321
"SMP_18",1261.96875,0.000614078799568848,398,-5.87382262348186e-05,-0.498608263711124
"SMP_18",1265.1210899353,0.000642735711574817,399,-3.04500265661254e-05,-0.258479628162375
"SMP_18",1268.2773399353,0.000609701198271712,400,-6.38539935053468e-05,-0.542034223257656
"SMP_18",1271.4335899353,0.000651927060277563,401,-2.19978730704088e-05,-0.186732252573069
"SMP_18",1274.58593988419,0.000592524693823339,402,-8.17698154143683e-05,-0.694115370878687
"SMP_18",1277.74218988419,0.000641161834272423,403,-3.35030034408904e-05,-0.284395281328192
"SMP_18",1280.89843988419,0.000708240909743823,404,3.32054442221749e-05,0.281869405167038
"SMP_18",1284.05468988419,0.000703634810860482,405,2.82284143968937e-05,0.239621139281356
"SMP_18",1287.20703005791,0.000652790488760004,406,-2.29866855151082e-05,-0.195125935661431
"SMP_18",1290.36328005791,0.000616926813933757,407,-5.9221908565858e-05,-0.502714073891759
"SMP_18",1293.51953005791,0.000605096389036817,408,-7.14241962188282e-05,-0.606295027045305
"SMP_18",1296.67188000679,0.000601305941964244,409,-7.55863642926448e-05,-0.641626216452747
"SMP_18",1299.82813000679,0.000614461391086833,410,-6.28034179913763e-05,-0.533116255070736
"SMP_18",1302.98046994209,0.000581414721222459,411,-9.6222454530999e-05,-0.816798770734487
"SMP_18",1306.13671994209,0.000619783337524113,412,-5.82269962996283e-05,-0.494268611551331
"SMP_18",1309.29296994209,0.000631845006703738,413,-4.65388187167909e-05,-0.395051759016018
"SMP_18",1312.44531011581,0.000639333064816953,414,-3.9424126234365e-05,-0.334657622303082
"SMP_18",1315.60156011581,0.000634507028232084,415,-4.46243324467327e-05,-0.378800354501412
"SMP_18",1318.75781011581,0.0006907900250135,416,1.12841497827606e-05,0.0957872018154908
"SMP_18",1321.9101600647,0.000668055633728005,417,-1.1824641359744e-05,-0.100375245820647
"SMP_18",1325.0664100647,0.000689184849115802,418,8.92935866259861e-06,0.0757982033882561
"SMP_18",1328.2226600647,0.000625522558632349,419,-5.51085035086669e-05,-0.467796816681652
"SMP_18",1331.375,0.000630103856376309,420,-5.09026716348978e-05,-0.432094980544185
"SMP_18",1334.53125,0.000604779823318987,421,-7.66029999741858e-05,-0.6502560812698
"SMP_18",1337.6875,0.000631028529994359,422,-5.0730956301058e-05,-0.430637349118337
"SMP_18",1340.8398399353,0.000603008804240095,423,-7.9127249264738e-05,-0.671683550851614
"SMP_18",1343.9960899353,0.000629084300388799,424,-5.34291624941522e-05,-0.45354147801891
"SMP_18",1347.1523399353,0.000613906619934776,425,-6.89846314444934e-05,-0.585586414710313
"SMP_18",1350.30468988419,0.000683293908660081,426,2.49533944654242e-08,0.000211820640248218
"SMP_18",1353.46093988419,0.000672037963854037,427,-1.16095490667263e-05,-0.0985494025558124
"SMP_18",1356.61718988419,0.000719531291844944,428,3.55048307529003e-05,0.30138809340768
"SMP_18",1359.76953005791,0.000621994790466817,429,-6.24105429549181e-05,-0.529781276261523
"SMP_18",1362.92578005791,0.000607480892854602,430,-7.73041806777848e-05,-0.656208159083175
"SMP_18",1366.08203005791,0.00056977054456363,431,-0.000115394670993462,-0.979545012400466
"SMP_18",1369.23438000679,0.000568368720068832,432,-0.000117176572748451,-0.994670953327026
"SMP_18",1372.39063000679,0.000577780168435087,433,-0.000108146081129271,-0.918014267633168
"SMP_18",1375.54296994209,0.000611613433798475,434,-7.46937131141053e-05,-0.634048812728434
"SMP_18",1378.69921994209,0.000665514586327085,435,-2.11743472383355e-05,-0.179741629744083
"SMP_18",1381.85546994209,0.000589911695723849,436,-9.71594454034437e-05,-0.824752558616252
"SMP_18",1385.00781011581,0.000617221325962506,437,-7.02319731839237e-05,-0.596174662582584
"SMP_18",1388.16406011581,0.000653053055774976,438,-3.47833036208452e-05,-0.295263301877608
"SMP_18",1391.32031011581,0.000638673776820786,439,-4.95460751313784e-05,-0.420579307182305
"SMP_18",1394.47656011581,0.000637283899590881,440,-5.13198810254546e-05,-0.43563652517643
"SMP_18",1397.6289100647,0.000641924428364323,441,-4.70632456030958e-05,-0.39950343547929
"SMP_18",1400.7851600647,0.000625135967936997,442,-6.42365177622603e-05,-0.545281337918636
"SMP_18",1403.9414100647,0.000647247855224027,443,-4.25098897128311e-05,-0.360851589483337
"SMP_18",1407.09375,0.000570992740480078,444,-0.00011915023688954,-1.01142469809628
"SMP_18",1410.25,0.000632400548636397,445,-5.81285938188206e-05,-0.493433307299815
"SMP_18",1413.4023399353,0.000614104728336609,446,-7.68105588601062e-05,-0.652017976075967
"SMP_18",1416.5585899353,0.000637550719264583,447,-5.37516540504081e-05,-0.456278996075439
"SMP_18",1419.7148399353,0.000625300206981139,448,-6.63897189528549e-05,-0.563559109923039
"SMP_18",1422.86718988419,0.000684979323189331,449,-7.09814590919161e-06,-0.0602536786385337
"SMP_18",1426.02343988419,0.000701650456778826,450,9.18449124539253e-06,0.0779639346722493
"SMP_18",1429.17968988419,0.000687713680457399,451,-5.14125940960454e-06,-0.0436423534014011
"SMP_18",1432.33203005791,0.000656799940576882,452,-3.64439725823517e-05,-0.309360140011357
"SMP_18",1435.48828005791,0.0005946097134376,453,-9.90241406513858e-05,-0.840581304554372
"SMP_18",1438.64453005791,0.000600214020788197,454,-9.38102635271206e-05,-0.796322524765207
"SMP_18",1441.79688000679,0.00061491265443196,455,-7.95020698530899e-05,-0.674865271763889
"SMP_18",1444.95313000679,0.000626330224558856,456,-6.84759193319743e-05,-0.581268135466777
"SMP_18",1448.10938000679,0.000643759919279215,457,-5.14381449119098e-05,-0.436640425955617
"SMP_18",1451.26171994209,0.000730007492235005,458,3.44174897104116e-05,0.292158035504846
"SMP_18",1454.41796994209,0.000713433367424794,459,1.74504324402942e-05,0.148130619152161
"SMP_18",1457.57421994209,0.000649566257575798,460,-4.68101219610425e-05,-0.397354757390785
"SMP_18",1460.72656011581,0.000648355038017294,461,-4.84148136232963e-05,-0.410976423804569
"SMP_18",1463.88281011581,0.000721105521131755,462,2.39411899974508e-05,0.203228390453693
"SMP_18",1467.03906011581,0.000618688099568689,463,-7.88712345496846e-05,-0.669510331455322
"SMP_18",1470.1914100647,0.000632490956340469,464,-6.54634189854248e-05,-0.555696073395692
