"whale_index","Sr_DIV_Ca","row_number","millimeters","no_trend","nt_sd"
"SMP_210151",0.000600635078162456,381,60.976,1.27008346743947e-05,0.0905918902609299
"SMP_210151",0.000641391057846994,382,61.1362,5.32778746723866e-05,0.380017809804806
"SMP_210151",0.000693886275870616,383,61.2964,0.000105593386386606,0.753171324330404
"SMP_210151",0.000654713587677185,384,61.4566,6.62402233396421e-05,0.472475014239984
"SMP_210151",0.000718062394216709,385,61.6168,0.000129407784560225,0.923033494910731
"SMP_210151",0.000667027070217298,386,61.777,7.8190442855192e-05,0.557712953533002
"SMP_210151",0.000696722220107387,387,61.9372,0.0001077028007317,0.768217251449731
"SMP_210151",0.000656271188514851,388,62.0974,6.70682008963499e-05,0.478380771922745
"SMP_210151",0.000628195333976745,389,62.2576,3.88079999649201e-05,0.276807797613171
"SMP_210151",0.000620182448638838,390,62.4178,3.06099881619049e-05,0.218333421349239
"SMP_210151",0.000662552283720773,391,62.578,7.27939147856717e-05,0.519220862958073
"SMP_210151",0.000615480097082981,392,62.7382,2.55350357753765e-05,0.182135050024345
"SMP_210151",0.000598967122756843,393,62.8984,8.83458324112238e-06,0.0630148817773623
"SMP_210151",0.00062599285749594,394,63.0586,3.56720520152168e-05,0.254439861976922
"SMP_210151",0.000629287548012564,395,63.2188,3.87776868886764e-05,0.276591581990581
"SMP_210151",0.000668614006327384,396,63.379,7.79142979608941e-05,0.555743280783007
"SMP_210151",0.000636513326661636,397,63.5392,4.56229775318289e-05,0.325417335151421
"SMP_210151",0.000659323660063225,398,63.6994,6.82418747281125e-05,0.486752295030869
"SMP_210151",0.000680776740451452,399,63.8596,8.95027215477698e-05,0.63840061983143
"SMP_210151",0.000643382558697028,400,64.0198,5.19155069402353e-05,0.370300380104307
"SMP_210151",0.000659210561590396,401,64.18,6.75496757746769e-05,0.481815012306074
"SMP_210151",0.000658559675098757,402,64.3402,6.67046656538785e-05,0.475787765586056
"SMP_210151",0.000610456271147379,403,64.5004,1.84073555317905e-05,0.13129508218005
"SMP_210151",0.000590916033865468,404,64.6606,-1.32657929400324e-06,-0.00946215968522478
"SMP_210151",0.000631290552904678,405,64.8208,3.88544419965268e-05,0.277139057057032
"SMP_210151",0.000668651743436268,406,64.981,7.60223257430148e-05,0.542248314197513
"SMP_210151",0.000663089035263978,407,65.1412,7.0266492917577e-05,0.50119339229277
"SMP_210151",0.000696315851814555,408,65.3014,0.000103300358115337,0.736815724809464
"SMP_210151",0.000602924846423425,409,65.4616,9.71656584009548e-06,0.0693058439752486
"SMP_210151",0.000590082021298798,410,65.6218,-3.31889053155961e-06,-0.0236728195060468
"SMP_210151",0.000622042629444937,411,65.782,2.84492331730098e-05,0.202921294205393
"SMP_210151",0.000573876746625055,412,65.9422,-1.99089961146077e-05,-0.142005910434841
"SMP_210151",0.00061870754581986,413,66.1024,2.47295857546731e-05,0.176389975644838
"SMP_210151",0.000580722379984013,414,66.2626,-1.34476770961127e-05,-0.0959189312346131
"SMP_210151",0.000573620428661027,415,66.4228,-2.07416139550745e-05,-0.147944766105872
"SMP_210151",0.000585953462205709,416,66.583,-8.60046329902912e-06,-0.0613449625440409
"SMP_210151",0.000593645190315136,417,66.7432,-1.10052426252453e-06,-0.00784976545054228
"SMP_210151",0.000640754982221896,418,66.9034,4.58175635554042e-05,0.3268052687909
"SMP_210151",0.000602768423598216,419,67.0636,7.63937699535858e-06,0.0544897733233723
"SMP_210151",0.000616779230920337,420,67.2238,2.14586237019572e-05,0.153059018040555
"SMP_210151",0.000605052558736083,421,67.384,9.54044939139957e-06,0.0680496492130595
